country,latitude,longitude,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Algeria,27.0982893,3.743509,14,18,20,23,27,30,34,38,30,27,22
Benin,10.3410443,2.3813621,560,470,460,530,510,490,470,440,400,370,340
Burkina Faso,12.551596,-1.562933,2000,1900,1800,1600,1500,1400,1300,1200,1100,950,850
Cameroon,6.4207128,12.6216211,5300,5500,5600,5700,5700,5700,5600,5500,5300,5100,4900
Central African Republic,7.4462918,20.1736277,2300,2200,2100,2000,1800,1700,1500,1200,1000,870,730
Chad,17.8688845,18.8076195,1900,2000,2200,2300,2500,2600,2700,2700,2700,2600,2500
Cote d'ivoire,7.6693713,-5.5395163,7600,7400,7100,6700,6200,5600,5000,4400,3700,3100,2600
Djbouti,11.8251114,42.5895473,120,120,120,120,120,120,120,120,110,110,98
Egypt,25.1076838,29.7964613,8,8,11,12,15,16,19,20,22,24,27
Eritrea,15.8052303,38.1899782,320,320,330,320,320,310,290,270,250,230,210
Ethiopia,8.7818726,39.0072524,13000,12000,12000,11000,10000,9500,8500,7600,6800,6100,5500
Ghana,6.8916237,-1.2331171,2800,2800,2800,2800,2700,2700,2500,2400,2100,2000,1800
Guinea,10.9358898,-10.8258823,1000,980,960,930,910,890,850,760,710,690,600
Guinea-Bissau,11.8006235,-15.0791228,160,180,200,220,230,240,250,250,240,240,230
Liberia,6.3559062,-9.8571416,740,740,710,680,640,590,550,510,460,410,360
Libya,27.9835135,16.912251,0,0,0,0,0,0,0,0,0,0,0
Mali,21.8279257,-3.097702,1200,1200,1100,1100,990,930,870,780,680,560,480
Mauritania,21.2045416,-9.5450974,44,48,50,53,56,58,59,58,58,56,49
Morroco,32.0873727,-6.3268933,37,41,43,45,47,49,50,51,49,49,49
Niger,17.1657706,9.092877,720,750,770,780,800,820,820,820,790,740,720
Nigeria,10.1589593,8.1338558,36000,36000,36000,36000,35000,35000,35000,34000,34000,33000,32000
Senegal,15.4370399,-15.2194808,370,410,450,480,510,540,570,580,580,570,520
Sierra Leone,7.8786903,-11.7979613,190,230,280,320,360,400,410,430,420,420,380
Somalia,5.4112633,46.516262,31000,35000,37000,39000,39000,38000,34000,29000,25000,20000,16000
Sudan,12.5614285,30.0459927,660,760,880,1000,1200,1300,1500,1700,1900,2100,2400
Togo,8.9228106,1.135302,1000,1100,1100,1100,1100,1100,1000,960,890,820,520
Tunisia,32.7767473,9.7225785,1,2,2,2,2,3,3,3,3,4,4
