state,name,Dropout,White,Asian,Hispanic,Black,Native Am.
SC,Abbeville,2.8,55.8,0,0.9,43.2,0
SC,Aiken,4.5,61.7,1,3.6,33.2,0.2
SC,Allendale,3.8,1.4,0.7,2.4,95.5,0
SC,Anderson,3.6,75,1,2.3,21,0.2
SC,Bamberg,4.2,24.3,0.4,1.4,73.5,0.1
SC,Barnwell,1.2,46.9,0.2,1,51.6,0.2
SC,Beaufort,0.9,47.7,1.3,12.2,38.2,0.2
SC,Berkeley,5.5,49.7,2.3,4.5,34.9,0.2
SC,Calhoun,1.1,14.2,0,1.7,84.1,0
SC,Charleston,2.8,42.3,1.7,3,51.9,0.2
SC,Cherokee,2.2,68.5,0.6,2.7,28,0.1
SC,Chester,4.6,47.9,0.4,0.9,50.5,0.4
SC,Chesterfield,2.5,55.7,0.6,2.1,41.4,0.2
SC,Clarendon,2.2,33,0.1,2.1,64.5,0
SC,Colleton,9.8,40.7,0.8,1.6,55.7,0.8
SC,Darlington,1.4,41.4,0.2,0.7,57.4,0.2
SC,Dillon,4.8,37,0.2,1.6,58.8,2.5
SC,Dorchester,4.1,59.3,2.1,2.9,35.2,0.6
SC,Edgefield,1,38.4,0.4,3,57.9,0.2
SC,Fairfield,1.4,9.5,0.2,1.4,88.9,0
SC,Florence,2.5,42.6,1.4,1.2,54.4,0.2
SC,Georgetown,2.1,47.4,0.4,2,49.9,0.2
SC,Greenville,3.5,60.6,2,8.1,27.4,0.2
SC,Greenwood,3.3,56.7,1.1,4.1,37.9,0.2
SC,Hampton,4.6,30.6,0,1,68.3,0
SC,Horry,4.8,68.5,1.8,4.6,23.8,0.6
SC,Jasper,2.6,13.2,0.1,13.1,73.3,0
SC,Kershaw,2.9,65.8,0.2,2,31.5,0.1
SC,Lancaster,3.5,61.9,0.6,2.7,34.2,0.3
SC,Laurens,7.2,58.8,0.3,3.2,37.5,0
SC,Lee,0.8,1.5,0.1,1.5,93.7,0
SC,Lexington,1.8,73.5,1.4,3.4,21,0.2
SC,Marion,5.5,21.1,0.5,0.9,77.1,0.3
SC,Marlboro,2.8,30.6,0.2,0.7,64.3,3.9
SC,McCormick,4.3,12,0,0,87.6,0
SC,Newberry,2.1,46.1,0.1,7.3,46.2,0.1
SC,Oconee,4.3,80.4,0.6,6,12.5,0.3
SC,Orangeburg,5.2,18.2,0.6,0.7,80.4,0.1
SC,Pickens,4,86.8,1.3,2.7,8.7,0.2
SC,Richland,3.70%,32.3,1.7,2.7,61.6,0.3
SC,Saluda,2.8,51.5,0.5,11.1,36.9,0
SC,Spartanburg,3.4,48.8,2.1,3.4,15.7,0.2
SC,Sumter,1.9,34.4,1,1.5,62.8,0.3
SC,Union,0.9,58.4,0.3,0.6,40.2,0.1
SC,Williamsburg,1.3,6.1,0.3,0.6,93,0
SC,York,2.6,58,1.7,3.2,23,0.8
